"","CLIC1","NHERF1","LDHA","ANXA1","GAPDH","HSPB1","EIF2S1","RPLP0","PTMA","ENO1","DBI","HSP90AA1","HSP90AB1","HMGB1","HSPA1A","TXN","HSPA8","TPT1","PKM","LGALS3","HNRNPA2B1","RPS3","CFL1","YWHAQ","TKT","PRDX6","CMPK1","ALDH3A1","HNRNPH1","YWHAB","PRDX2","PFN2","TALDO1","MDH1","PSMC4","RPS9","RPS5","HINT1","CRIP1","SUB1","EIF4A1","DSTN","ARF3","YWHAG","RPS7","RPS8","YWHAE","RPS14","RAN","FAU","PPIA","YWHAZ","RPL38","EIF5A","RACK1","YBX1","GSTO1","BASP1","YWHAH","PSME1","PRDX1","HNRNPA0","PRDX4","TUBB3","DDX39B","COTL1","PAFAH1B3","UGP2","CROCC","ABHD14B","NIBAN2","HNRNPAB","PTMS","train"
"A101Reporter.intensity.11",0.13631131338781,-0.641187188353579,-0.708141922799055,-0.760815363914444,-0.825270327516186,-0.0436652810657235,0.0965919981548748,0.383878080479435,0.263524158489598,-0.472642472319971,0.630316290287587,0.897943064318407,1.05138911121101,-0.11934453233053,-0.394767918879319,-0.331895725266608,0.268171353385409,1.49390168155585,0.349405758992097,-1.60931310494606,-0.452308157201725,-0.655249742344542,0.0997879845883839,0.147098301043755,-0.0847503220837563,-1.76660637783185,0.0819077616474281,-2.14664353673634,0.304886016840693,0.655547903910391,0.521142193414954,2.56493717981287,-0.766270896288106,0.0115680668977229,NA,1.2483888604451,0.239584270830853,0.810960881713759,1.22739371888725,1.04702568766077,1.6862576374194,0.392926127519648,1.37876979961492,0.0337908790490107,0.650080003575214,0.19722646283614,0.225274107089119,0.274238551749056,-0.234570690020662,0.178502778753829,-1.02542107721145,0.65766879698087,NA,NA,-0.385234330551354,NA,-1.99523963933704,0.118510232791054,1.19579895391478,-0.483383042777655,-0.453088375258599,-0.177445776687754,-0.661627512846219,NA,0.0897770570747624,-3.61862415433438,0.2868239884471,NA,-1.30412990816022,1.66693200976991,-1.36695211040227,-0.351611053958815,3.76317760745263,0
"A101Reporter.intensity.12",-0.651861631593151,-0.953510031042048,-1.92874343803846,-0.978942876566232,-1.07409682778259,-0.0633719736440432,-0.495773853744595,0.282479427869058,-2.4177922008613,-0.314323761241165,-0.578780033481313,-0.159055663783453,-1.31693762964475,-1.03028789525024,0.314755328216002,-2.3657809777665,-0.118378510185489,-1.56022291050041,-2.23967553606738,-0.474397428592536,1.16823424953016,1.57400506164044,-1.07281504259957,0.320221866851386,-1.00180641949444,-3.46337601824515,0.299006125026872,-1.21931945435397,1.62537425336803,-0.144872586963638,-0.806403284704664,0.464345532525169,-0.0655438930047928,-3.04920513707312,NA,1.5487988976755,2.04647645270032,-1.45170770489936,-1.98500751412681,0.891628308964913,-2.19851717344354,-2.21737478284985,-1.86669028136353,2.08567322894412,0.156436126856242,0.997242813086384,-1.24595282951313,2.95613986835519,-1.15963248925571,0.879128512885947,-0.797031451350765,-1.42162685098455,NA,NA,-0.155194889645143,NA,-0.477301580264185,-0.773255065766985,-0.334289146017825,-0.857469370799191,-4.53828051230932,2.2557673177543,-1.95963207226941,NA,-0.738631381139083,-0.204788345616167,-3.71997643280557,NA,-0.805840468061024,-0.315705478148709,-0.969614652021839,1.46960507927068,-2.30209548529763,1
"A101Reporter.intensity.14",-0.401583240245265,0.0995931883360766,-2.38789897966404,-0.122874716628673,-0.650821242590271,-0.6702844195972,-0.748323464051774,-0.949235841960605,-1.28717291872625,0.221235513698889,-0.111933518003257,-0.382051362356265,-0.67019421188645,0.470833325099964,-0.116116431515308,-1.47990020715077,-0.703717545527657,-2.03980880259942,-0.740975938023398,-0.497573550540251,-0.198321345215795,-0.344082051380625,-2.15422386262386,-0.921927082644667,-1.80409811063618,-2.97951182347705,-0.212681112588541,-0.946829368446693,-1.23678691594869,1.23107577029416,-1.89717382630899,NA,-1.60527089083205,-1.01138898680061,NA,-0.169260580148371,0.398591263772666,-2.09449130172163,-1.72811830340469,0.223800928958528,-3.58314856613627,-0.566988172177857,-2.16794523743405,0.613211437637582,NA,0.142967557432258,-0.717173987051413,0.115241047581854,-1.7188826371475,-1.32485906654287,-0.596785810516724,-3.04712529353401,NA,NA,-0.366058823487457,NA,-3.43541726468377,-0.421528621903009,-1.78927393266087,-0.623628381623679,-5.40631826863545,-1.12755367613235,-1.44835902228443,NA,-1.54225869119111,-1.3407978474228,-1.81148426585041,NA,-2.24445252871648,-1.2905454948778,-1.14876075928528,-0.263411488806999,-4.81213966598618,1
"A101Reporter.intensity.15",-0.2805059637694,-0.244371558678255,-0.573706423859785,-2.46557820028345,0.706954682889182,-0.310497377810417,1.70963948803622,-0.213790712942099,0.024258293016398,-0.62735150910738,2.32821936774152,0.441837679646247,-0.131905009565065,0.00949872959647033,-0.251726850612279,-0.147107841211719,0.0602415229277693,0.0863275993075752,0.851736390994725,-0.729907638827367,-0.190984137116409,0.120502231523113,-0.44264269023458,-0.1854013938667,0.0326626875057993,-3.255256655989,0.340432252259285,1.43882648948181,0.15868057359838,-0.336390826892798,0.0334569527603033,-0.770691652219172,-0.150360653490448,-0.320413584429793,NA,0.0272410430250523,-0.828861500787669,-0.122585145341311,5.85405797580416,0.359684742983025,1.17662688562914,0.47535944716802,0.296383306331491,-0.0706983619187031,NA,-0.0403096391625804,0.0658473211168686,0.224363389987147,0.576859109835748,0.303815748620249,0.885528737909033,0.0379635454505871,NA,NA,-0.0924327694216071,NA,-2.28630358095689,0.251122924079537,1.76172625286666,-0.353851405305216,-1.19782339715452,0.484507876018566,-0.843958557484527,NA,-0.184466856603264,-1.1082554821201,-0.812382457432807,NA,-2.33650877149439,-0.0900250346564695,-1.6874135124107,-0.653989609312489,3.11802579704864,0
"A101Reporter.intensity.16",-0.14337519946008,-3.16251595208813,-1.54067678308739,2.47032099489547,-1.52089967700329,0.156793277474575,0.454207553211997,-0.175617448610246,-2.62248052319982,0.548452308633637,-0.103839175950978,-0.394686842725245,-1.41474221978397,0.190270897118117,0.182561616388346,-1.83208829947796,0.198736934569014,-0.327055697995103,-1.97104158807522,-1.19280521645292,-3.46583318392323,-1.04666491639876,-1.95041564612966,-0.254573272350247,-1.59963672437158,-2.8434289231119,-0.615227874479773,-1.04066738112572,-0.876694835151771,-0.081990919986948,-1.23282451750671,-1.67398238730606,-0.238099439902059,-2.82362495953561,NA,-0.407112447465741,-0.875978261429339,-0.704415839439196,NA,0.155584340041353,-1.7844888399193,-1.82607517378738,-1.61588907924231,-0.307043929855494,NA,-1.15484962329327,-0.723437602659129,-0.133821962895605,-0.932258359891333,-0.532764940309809,-1.2188549889574,-1.1420357169352,NA,NA,-0.0758585732999769,NA,-2.06280755327146,-0.274229705408582,-0.645597580136677,-0.0724882488435319,-2.04180855647017,-3.47971781772231,-0.491898607770629,NA,-0.874880401489069,-0.6430647121721,0.257004547345887,NA,-2.08003534333551,-0.707735930534961,-1.29401668729031,-0.794497187525396,-1.85685052340963,1
"A101Reporter.intensity.17",-0.0456407018725216,-1.22427753648444,-0.112341549472191,-0.528310764998452,0.257969364221473,0.929733009628676,-0.762925339557024,0.241370502804459,1.63933003765292,0.169837797385555,-0.414437457018388,0.756500879626283,0.756347123124794,-0.119377444694472,0.63257912000201,0.0909752664397561,0.466947158426862,0.911457253098412,1.02166999849239,1.3264357759789,0.700746190577804,-0.0258924753799335,0.897378043437962,-0.00647098733214932,0.685972902156141,1.13145061893311,0.439548349433502,0.115732243158224,0.0436674906169751,0.758546135116221,1.11265761684028,-3.25643845010133,0.124740101548357,1.52420725500771,NA,0.497191796811785,0.304754319485095,0.649075792599216,1.37940745363009,-0.126025161427351,1.47616707410439,2.54418670677216,0.180496309896186,0.833209847808671,NA,-0.00298768812911253,0.841066609412017,0.755497377181962,0.769789497521403,1.24310857641109,1.31839255629898,0.96984224090391,NA,NA,-0.574037318905237,NA,0.531459771718197,0.235915413371607,0.794298473380485,0.159234664007113,0.960024452579769,0.77345064152203,0.463608911272311,NA,0.344489933202001,2.56174797446744,0.235104327820715,NA,1.52571074574769,-0.0390391276102521,2.13055117253925,-0.000548859270142583,2.80776760266984,0
"A101Reporter.intensity.18",1.80444836075309,1.0220306835305,0.246978507103342,-1.36031780708363,1.65324527096405,-0.753037828992951,0.19678191004427,-0.75851728544984,0.290284544056364,-0.145183929533053,-0.148445800315467,0.168319320335206,0.383837171840287,0.146310567991133,-0.956403425588529,-0.923363860841327,-0.1440561532122,0.984497631250652,0.750345175515308,-1.01007665537134,-0.599572410665139,-0.330433748675918,3.71438396473052,-0.862567553935629,-0.642989357238036,-2.35251253256217,-0.32237135052892,-1.44795553995813,-0.311525001172609,-0.137810462743403,-0.475620328446811,NA,0.00287782658249245,1.51099893948569,NA,-0.404698350734694,1.19621520327565,-0.50922220171965,3.68688030646095,0.330615280321045,0.603769095414033,-1.30731500938057,-0.799202903145339,-0.38553951161216,NA,0.0295807511285662,0.323204563514272,-1.5508525183312,0.271519982034568,-0.52704273521602,-0.21566628451844,-0.260979619320059,NA,NA,-0.165392505623458,NA,-2.82237116415216,1.99268548926955,-1.21565732061128,0.997320330460574,-1.68994837177855,-0.216019896646613,-0.86285145829525,NA,0.410699076333072,2.47232346052323,-1.45457517211193,NA,-1.22587041541862,-0.634535626263364,-3.0649041553687,0.0521471089280908,-1.27916237029787,0
"A101Reporter.intensity.19",-1.32105777493976,-0.268224183429543,-0.0441186648237757,-0.365906961570926,0.452406364098973,-1.12310022550184,0.614305288677714,0.244373049527698,-0.712820112451208,-2.30263370545788,-0.0345843062416412,-0.836348408351801,-0.0296956855774533,1.02036615045365,-0.0831616637746264,-0.0990128780516536,-0.163915576988637,-0.0420581417657051,-0.58889713742145,-0.377005168292078,-0.301603949885939,0.092946643440676,-0.371440022090106,-0.050828037521986,-0.00624993907075598,-2.84959992671047,-0.533220768063542,-0.445556433306855,0.126067039300166,-0.791993885697096,-0.0180600903323245,NA,0.182096673249142,-0.764485151610581,NA,0.020325777410719,0.12585378462361,-0.828012328911292,-0.0931130738448646,-1.21105551027891,0.502428953940275,-0.209742771092302,-0.12855948169431,-0.751499535406315,NA,0.167942597424971,-0.0346026776436604,0.168823081437341,0.877652230224866,0.731289992002463,-0.834117462811275,-0.395268195000437,NA,NA,-0.382837011064765,NA,-2.31784353943668,0.113548565996206,-0.536209286577761,-0.0188243963445103,-1.25798961458493,0.351276110929468,-0.934834632469773,NA,0.0634018747725807,-2.34025288703477,-0.793538750528623,NA,-3.08740397009407,0.759023768106915,-3.30905803988253,-0.0249928472857991,0.442513758148127,0
"A101Reporter.intensity.20",0.193011350484098,0.360351920796686,1.01892975739129,1.6772388451729,1.30981768267372,1.51342983601532,-0.283546704044071,-0.278301055531993,1.15318091368034,0.586759663757311,-0.664426513616696,-1.04194523134499,0.18534772219488,-0.146295478043607,0.581963797920638,0.996620924828727,0.00265068022141168,1.01575934352426,0.644590510814454,0.770030654335219,0.0516218398237592,-0.301709372492214,-0.565073428986605,-0.0766285693461523,0.0772837267448007,5.80557117483415,-0.45765200858267,0.225249763560503,0.542234822047292,0.208739913475721,0.052553966384842,0.381653787996873,0.117666552237999,0.970696369887855,NA,-0.0788836514413772,0.41720123111243,0.0458176797044415,0.561803432689456,-0.118424261058201,0.691483375429471,0.932846828532557,0.534644576458075,0.0679181176816084,NA,0.589610654219918,0.24585575216718,0.914395343610933,0.028669588178892,0.194314580464585,0.405713656063657,0.875928019695534,NA,NA,1.10935746185221,NA,1.6411793254678,0.316216873566781,0.290100948280626,0.717864822477164,2.832615068047,-0.0134629203879086,0.733095258301058,NA,-0.242722667294362,1.88021807815406,1.28461055355889,NA,1.92024319267138,0.112553239417863,1.03084663080919,0.374291731829442,1.53509717454429,0
"A101Reporter.intensity.21",-1.25633122127092,-0.471451387264532,-0.430694325839516,-0.697712832892431,0.103930581875824,-1.03923802347941,-0.19940212202558,-0.357556383483601,0.93418576009263,0.110322098999055,0.72134168428783,0.376198224480941,-0.0969107514735764,0.741340872127686,-0.00985217479270727,-0.239930533302913,-0.439222233008409,-0.594075025429431,-0.0746065677587762,-0.502710359851305,-0.243003376910834,-0.0532022513096589,-0.0115129372898844,-0.226558713775164,-0.755647685618448,-3.29622059201538,0.125446561889819,5.36208365860797,-0.310077555608018,-1.08553144473524,-0.339588439304808,-0.656086427559557,-1.28499802525434,-0.785174679758869,NA,-0.115282309613366,-0.664124233228454,0.0245173249593736,1.34643894839583,-0.1415362298271,0.731978958548637,0.508412100593239,0.0719911890908658,0.51263521822975,NA,-0.292347200535316,-0.0274356136051798,0.132711854404447,0.687472862664392,0.23526273778746,-0.227111355534444,-0.275433938926837,NA,NA,0.126681630686898,NA,-2.13443729958514,0.905314580616117,0.58311373876478,-0.110159154156183,-0.329602866433418,0.419544851414582,-0.344214294460146,NA,-0.305308101133881,-2.07907421440301,-0.292623472377187,NA,-2.40125942714867,-0.295719802739697,-0.151749192817309,-0.379628495654159,1.01466130302151,1
